disease_category,taxon,genus,meta_effect,meta_p,meta_q,k_projects,I2,pooled_effect,pooled_p,pooled_q,concordance_class,sign_agree,pooled_method
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Roseburia,Roseburia,-0.28788152749669565,0.17295616874693664,0.5509545417145041,3.0,0.0,-0.25922634160911273,0.39869418820239,0.5623373251511322,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Sellimonas,,,,,,,0.3706339259176121,0.024827297166566724,0.08777195903911655,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Shuttleworthia,Shuttleworthia,-0.03427259436473875,0.9299063784050974,0.9728153676759603,2.0,54.44950164787671,0.2503247286352269,0.09693642774268552,0.2261849980662662,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.Syntrophococcus,,,,,,,0.11169610602717424,0.3193665029140574,0.5115277038199733,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] eligens group,[Eubacterium] eligens group,-0.6783099145305183,0.014295336597442773,0.12288450615927964,3.0,0.0,-0.712911411232823,0.022943361043960712,0.08502539680997205,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] ruminantium group,[Eubacterium] ruminantium group,-0.6395006648174287,0.04223078145930262,0.2525725501080082,3.0,7.998459243043296,-0.8598290534147763,0.0052905927164232005,0.029409471276587794,pooling_only,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] ventriosum group,[Eubacterium] ventriosum group,-0.5648672543666031,0.3865303097890057,0.743650704702761,3.0,86.52860674059201,0.09313995421834885,0.7058344554005412,0.8496988029981037,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Eubacterium] xylanophilum group,[Eubacterium] xylanophilum group,-0.716720987723919,0.05337352024533894,0.2553273806331079,3.0,57.758258075826305,-0.3840832329926995,0.11915141938217509,0.2588461869336907,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Ruminococcus] gauvreauii group,[Ruminococcus] gauvreauii group,-0.03396903377131201,0.8952818520095245,0.9728153676759603,3.0,0.0,-0.1117000194410454,0.675351056902652,0.8234925790619434,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Lachnospirales.Lachnospiraceae.[Ruminococcus] gnavus group,[Ruminococcus] gnavus group,0.4432084718046778,0.5302544474451822,0.8126027730152566,2.0,62.44461474227381,0.7794774519298232,0.0009634553623859525,0.011050228794075514,pooling_only,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Monoglobales.Monoglobaceae.Monoglobus,Monoglobus,-0.6513632641744767,0.1733053574370197,0.5509545417145041,3.0,79.54149762919195,-0.20258155350898208,0.4032322530747473,0.5645251543046462,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.NA.NA.NA,Clostridia,-0.19599873526718167,0.47180041056859134,0.8114641581230227,3.0,59.90757034176761,-0.053320658388125206,0.7188766299713686,0.8599220447125865,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Oscillospirales.Butyricicoccaceae.Agathobaculum,Agathobaculum,-0.03714421861271163,0.9001115368609645,0.9728153676759603,3.0,54.99807009502972,0.13464260013574142,0.5518137679588832,0.719260704442958,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Oscillospirales.Butyricicoccaceae.UCG-008,,,,,,,-0.4205127973538431,0.024443538265798405,0.08777195903911655,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Oscillospirales.Butyricicoccaceae.UCG-009,UCG-009,-0.535518715100143,0.005413605742320598,0.09537957334964636,3.0,15.372058358197199,-0.6949956313671113,0.0002871408696719282,0.006783703045999304,pooling_only,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Oscillospirales.NA.NA,Oscillospirales,-0.04862656103436263,0.9322373335840699,0.9728153676759603,2.0,85.71429212125541,0.2188076523649588,0.04641237836316352,0.13103154228986105,ns,False,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.Colidextribacter,Colidextribacter,-0.2497960996670713,0.21051531602795026,0.5755326121464023,3.0,0.0,-0.23592570620615166,0.29213701249226803,0.48433241544770755,ns,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.Flavonifractor,Flavonifractor,0.26286866502904055,0.47628567438497893,0.8114641581230227,3.0,65.66757056035951,0.5610032361130499,0.004977394845318193,0.02850689775045874,pooling_only,True,combat_ols
HIV,Bacteria.Bacillota.Clostridia.Oscillospirales.Oscillospiraceae.Incertae Sedis,Incertae Sedis,0.06750171274602691,0.7385848515699358,0.8893164539311472,3.0,0.0,0.20435985279119998,0.32648947342783186,0.5121726498365299,ns,True,combat_ols
