project,tag,bucket,controls,cases,study_n,n_distinct_values_after_null,top_values,note
PRJNA434133,obesity_status,NEEDS_REVIEW,,,,2,"{""obese"": 139, ""non-obese"": 139}",
PRJNA445932,case_control,CONFIRMED,103.0,71.0,174.0,2,"{""control"": 103, ""case"": 71}",
PRJNA450340,gastrointest_disord,NEEDS_REVIEW,,,,5,"{""hc"": 46, ""ra"": 45, ""cd"": 42, ""uc"": 40, ""ms"": 40}",
PRJNA450340,host_disease,CONFIRMED,46.0,167.0,213.0,5,"{""hc"": 46, ""ra"": 45, ""cd"": 42, ""uc"": 40, ""ms"": 40}",
PRJNA450540,gastrointest_disord,NEEDS_REVIEW,,,,2,"{""crohn\u2019s disease"": 234, ""none"": 22}",
PRJNA474717,pulmonary_disord,NEEDS_REVIEW,,,,2,"{""asthma"": 45, ""healthy"": 14}",
PRJNA480711,Cohort,CONFIRMED,54.0,20.0,243.0,4,"{""nafl"": 87, ""high bmi"": 82, ""normal bmi"": 54, ""nash"": 20}",
PRJNA481413,host_Hp-status,COLONISATION,242.0,203.0,,2,"{""negative"": 242, ""positive"": 203}",carriage of an organism not illness -- pending decision LABEL_AUDIT.md 5.2
PRJNA485316,screenPCRresult,COLONISATION,181.0,695.0,,4,"{""kpc positive"": 683, ""negative"": 181, ""kpc(+), ndm(+)"": 11, ""ndm positive"": 1}",carriage of an organism not illness -- pending decision LABEL_AUDIT.md 5.2
PRJNA485797,host_disease,CONFIRMED,64.0,115.0,179.0,2,"{""bipolar disorder"": 115, ""healthy control"": 64}",
PRJNA486009,gastrointest_disord,NEEDS_REVIEW,,,,2,"{""none"": 100, ""diarrhea"": 82}",
PRJNA493625,health_state,NEEDS_REVIEW,,,,2,"{""control"": 41, ""malabsorptive"": 27}",
PRJNA495320,host_disease,NEEDS_REVIEW,,,,1,"{""none"": 166}",
PRJNA495320,sequencing_status,NEEDS_REVIEW,,,,21,"{""ok"": 157, ""failed"": 8, ""control01"": 1, ""control02"": 1, ""control03"": 1}",
PRJNA511474,Group,NEEDS_REVIEW,,,,3,"{""p"": 30, ""a"": 28, ""n"": 16}",
PRJNA511474,env_local_scale,CONFIRMED,45.0,29.0,74.0,2,"{""normal site"": 45, ""acf site"": 29}",
PRJNA516932,treatmentgroup,NEEDS_REVIEW,,,,2,"{""placebo"": 406, ""udca"": 396}",
PRJNA517509,age group (months),NEEDS_REVIEW,,,,2,"{""36"": 140, ""24"": 140}",
PRJNA517509,control/intervention,NEEDS_REVIEW,,,,2,"{""i"": 146, ""c"": 134}",
PRJNA521398,disease,NEEDS_REVIEW,,,,4,"{""patient with fibromylagia (fm group)"": 77, ""unrelated control (control group)"": 48, ""same household adress as patient (control group)"": 20, ""first-degree relation with a patient (control group)"": 11}",
PRJNA525701,host_disease,NEEDS_REVIEW,,,,4,"{""alcohol use disorder"": 27, ""alcoholic hepatitis"": 16, ""alcoholic liver disease"": 7, ""healthy liver control"": 4}",
PRJNA526906,gastrointest_disord,CONFIRMED,230.0,205.0,435.0,2,"{""control"": 230, ""necrotizing enterocolitis"": 205}",
PRJNA527265,PatientGroup,NEEDS_REVIEW,,,,3,"{""acquired carbapenem resistant pseudomonas"": 123, ""did not acquired carbapenem resistant pseudomonas"": 89, ""antibiotic free"": 46}",
PRJNA529598,group,CONFIRMED,179.0,262.0,483.0,5,"{""autism"": 262, ""neurotypical"": 179, ""neurotypical_mom"": 29, ""donor-initial"": 9, ""donor-maintenance"": 4}",
PRJNA532853,host_disease,NEEDS_REVIEW,,,,2,"{""long-term ppi use"": 47, ""long-term ppi use and cirrhosis"": 20}",
PRJNA533120,host_disease,CONFIRMED,41.0,41.0,82.0,2,"{""nt"": 41, ""asd"": 41}",
PRJNA533120,host_phenotype,NEEDS_REVIEW,,,,2,"{""nt"": 41, ""asd"": 41}",
PRJNA535518,cohort,NEEDS_REVIEW,,,,4,"{""1"": 43, ""3"": 42, ""4"": 8, ""2"": 7}",
PRJNA541332,bmi_status,NEEDS_CHECK,,,,3,"{""1"": 172, ""2"": 144, ""0"": 114}",numeric group code (0/1/2) not recoverable from data alone -- LABEL_AUDIT.md 5.3
PRJNA541332,cardiovascular_disease,NEEDS_REVIEW,,,,2,"{""0"": 415, ""1"": 7}",
PRJNA541332,depression_status,NEEDS_REVIEW,,,,4,"{""1"": 51, ""2"": 15, ""3"": 10, ""4"": 3}",
PRJNA541332,diabetes_status,NEEDS_REVIEW,,,,6,"{""1"": 214, ""4"": 57, ""2"": 52, ""5"": 48, ""3"": 42}",
PRJNA541332,marital_status,NEEDS_REVIEW,,,,6,"{""1"": 145, ""2"": 67, ""4"": 16, ""3"": 13, ""6"": 8}",
PRJNA541332,metabolic_phenotype,NEEDS_REVIEW,,,,6,"{""3"": 122, ""5"": 107, ""0"": 55, ""2"": 50, ""1"": 45}",
PRJNA541332,stress_status,NEEDS_REVIEW,,,,3,"{""2"": 45, ""1"": 21, ""3"": 9}",
PRJNA544545,study_group,NEEDS_REVIEW,,,,2,"{""2"": 238, ""1"": 149}",
PRJNA544721,isolation_source,CONFIRMED,44.0,84.0,128.0,2,"{""ibs-d"": 84, ""hc"": 44}",
